lang,iso639_3,name
xmf,xmf,Mingrelian
yaq,yaq,Yaqui
yav,yav,Yangben
ydg,ydg,Yidgha
yi,yid,Yiddish
yo,yor,Yoruba
yue,yue,Cantonese
zgh,zgh,Standard Moroccan Tamazight
zh-CN,zho,Chinese
zh-HK,zho,Chinese
zh-TW,zho,Chinese
zoc,zoc,Copainalá Zoque
zu,zul,Zulu
zza,zza,Zaza
